id,Name,Description,Rarity,Attack,HP_Bonus,Speed,Evasion_Rate,Defense_Rate,BuyPrice,SellPrice
45,슬픔을 머금은 갑옷,지킬 주인을 잃어버린 슬픈 갑옷.,RARITY_EPIC,0,11500,55,0.11,0.32,106950,53475
46,잊혀진 약속의 로브,달빛을 받으면 지키지 못한 약속의 슬픔이 아른거린다.,RARITY_EPIC,0,9000,65,0.13,0.29,97100,48550
47,침묵의 수호 갑옷,약속을 지키기 위해 만들어진 눈물깃든 갑옷.,RARITY_EPIC,0,10500,58,0.1,0.3,99550,49775
48,월광석 심장 보호대,마법이 깃들어 있어 착용자의 심장을 지킨다.,RARITY_EPIC,0,12000,55,0.09,0.33,107800,53900
49,공허한 맹세의 반지,지키려던 모든 것이 사라진 반지.,RARITY_EPIC,0,9500,65,0.09,0.32,98550,49275
50,낙담의 경갑,끝없는 전투에 지쳐 힘든 자의 낙담이 서려 있다.,RARITY_EPIC,0,10000,70,0.1,0.3,99000,49500
51,속죄의 가시 갑옷,갑옷의 가시가 적이 아닌 착용자의 심장을 향해있다. ,RARITY_EPIC,0,7500,55,0.18,0.3,98350,49175
52,회한의 눈물 투구,투구 안쪽에는 마르지 않는 눈물 자국이 가득하다.,RARITY_EPIC,0,10500,65,0.1,0.29,98750,49375
53,가라앉은 희망의 갑옷,깊은 절망의 늪에 빠져 한때 품었던 희망마저 가라앉아 버렸다.,RARITY_EPIC,0,11000,60,0.12,0.31,105400,52700
54,잊혀진 왕가의 갑옷,왕가의 문장이 새겨진 갑옷. 이 왕국에 얽힌 진실의 조각을 품고 있다.,RARITY_UNIQUE,0,13000,95,0.15,0.35,125500,62750
55,거짓된 용살자의 갑옷,용의 피를 뒤집어썼다고 알려진 갑옷.,RARITY_UNIQUE,0,12000,100,0.11,0.36,119200,59600
56,밤그림자 장막,왕국의 가장 어두운 비밀처럼 빛 한 점 통과시키지 않는 칠흑 같은 로브.,RARITY_UNIQUE,0,9900,115,0.12,0.28,102550,51275
57,별빛 인도자의 마법서,별빛으로 운명을 읽었다던 예언자의 마법서.,RARITY_UNIQUE,0,10000,120,0.1,0.3,104000,52000
58,거인의 눈물 방패,거대한 이 방패는 차마 흘리지 못한 눈물이 굳어 만들어졌다고 전해진다.,RARITY_UNIQUE,0,8800,100,0.15,0.4,118800,59400
59,광전사의 흉터 갑옷,영광스러운 상처가 아닌 씻을 수 없는 과오가 새겨진 잿빛 흉터 갑옷.,RARITY_UNIQUE,0,15000,88,0.1,0.3,118300,59150
